timestamp,actuator_id,values
15,SteeringMotor,ADJUST
15,SpeedActuator,ADJUST
50,BrakingSystem,BRAKE
121,SteeringMotor,HAPTIC_PROMPT
126,AlarmActuator,ALARM
127,AlarmActuator,ALARM
128,AlarmActuator,ALARM
129,AlarmActuator,ALARM
131,AlarmActuator,ALARM
132,AlarmActuator,ALARM
133,AlarmActuator,ALARM
134,AlarmActuator,ALARM
135,AlarmActuator,ALARM
136,AlarmActuator,ALARM
137,AlarmActuator,ALARM
138,AlarmActuator,ALARM
139,AlarmActuator,ALARM
140,AlarmActuator,ALARM
141,AlarmActuator,ALARM
142,AlarmActuator,ALARM
143,AlarmActuator,ALARM
144,AlarmActuator,ALARM
145,AlarmActuator,ALARM
146,AlarmActuator,ALARM
147,AlarmActuator,ALARM
148,AlarmActuator,ALARM
149,AlarmActuator,ALARM
150,AlarmActuator,ALARM
151,AlarmActuator,ALARM
152,AlarmActuator,ALARM
153,AlarmActuator,ALARM
154,AlarmActuator,ALARM
155,AlarmActuator,ALARM
156,AlarmActuator,ALARM
157,AlarmActuator,ALARM
158,AlarmActuator,ALARM
159,AlarmActuator,ALARM
160,AlarmActuator,ALARM
161,AlarmActuator,ALARM
162,AlarmActuator,ALARM
163,AlarmActuator,ALARM
164,AlarmActuator,ALARM
165,AlarmActuator,ALARM
166,AlarmActuator,ALARM
167,AlarmActuator,ALARM
168,AlarmActuator,ALARM
169,AlarmActuator,ALARM
170,AlarmActuator,ALARM
171,AlarmActuator,ALARM
172,AlarmActuator,ALARM
173,AlarmActuator,ALARM
174,AlarmActuator,ALARM
175,AlarmActuator,ALARM
176,AlarmActuator,ALARM
177,AlarmActuator,ALARM
178,AlarmActuator,ALARM
179,AlarmActuator,ALARM
180,AlarmActuator,ALARM
181,AlarmActuator,ALARM
182,AlarmActuator,ALARM
183,AlarmActuator,ALARM
184,AlarmActuator,ALARM
185,AlarmActuator,ALARM
186,AlarmActuator,ALARM
187,AlarmActuator,ALARM
188,AlarmActuator,ALARM
189,AlarmActuator,ALARM
190,AlarmActuator,ALARM
191,AlarmActuator,ALARM
192,AlarmActuator,ALARM
193,AlarmActuator,ALARM
194,AlarmActuator,ALARM
195,AlarmActuator,ALARM
196,AlarmActuator,ALARM
197,AlarmActuator,ALARM
198,AlarmActuator,ALARM
199,AlarmActuator,ALARM
200,AlarmActuator,ALARM
201,AlarmActuator,ALARM
202,AlarmActuator,ALARM
203,AlarmActuator,ALARM
204,AlarmActuator,ALARM
205,AlarmActuator,ALARM
206,AlarmActuator,ALARM
207,AlarmActuator,ALARM
208,AlarmActuator,ALARM
209,AlarmActuator,ALARM
210,AlarmActuator,ALARM
211,AlarmActuator,ALARM
212,AlarmActuator,ALARM
213,AlarmActuator,ALARM
214,AlarmActuator,ALARM
215,AlarmActuator,ALARM
216,AlarmActuator,ALARM
217,AlarmActuator,ALARM
218,AlarmActuator,ALARM
219,AlarmActuator,ALARM
220,AlarmActuator,ALARM
221,AlarmActuator,ALARM
222,AlarmActuator,ALARM
223,AlarmActuator,ALARM
224,AlarmActuator,ALARM
225,AlarmActuator,ALARM
226,AlarmActuator,ALARM
227,AlarmActuator,ALARM
228,AlarmActuator,ALARM
229,AlarmActuator,ALARM
230,AlarmActuator,ALARM
231,AlarmActuator,ALARM
232,AlarmActuator,ALARM
233,AlarmActuator,ALARM
234,AlarmActuator,ALARM
235,AlarmActuator,ALARM
236,AlarmActuator,ALARM
237,AlarmActuator,ALARM
238,AlarmActuator,ALARM
239,AlarmActuator,ALARM
240,AlarmActuator,ALARM
241,AlarmActuator,ALARM
242,AlarmActuator,ALARM
243,AlarmActuator,ALARM
244,AlarmActuator,ALARM
245,AlarmActuator,ALARM
246,AlarmActuator,ALARM
247,AlarmActuator,ALARM
248,AlarmActuator,ALARM
249,AlarmActuator,ALARM
250,AlarmActuator,ALARM
251,AlarmActuator,ALARM
252,AlarmActuator,ALARM
253,AlarmActuator,ALARM
254,AlarmActuator,ALARM
255,AlarmActuator,ALARM
256,AlarmActuator,ALARM
257,AlarmActuator,ALARM
258,AlarmActuator,ALARM
259,AlarmActuator,ALARM
260,AlarmActuator,ALARM
261,AlarmActuator,ALARM
262,AlarmActuator,ALARM
263,AlarmActuator,ALARM
264,AlarmActuator,ALARM
265,AlarmActuator,ALARM
266,AlarmActuator,ALARM
267,AlarmActuator,ALARM
268,AlarmActuator,ALARM
269,AlarmActuator,ALARM
270,AlarmActuator,ALARM
271,AlarmActuator,ALARM
272,AlarmActuator,ALARM
273,AlarmActuator,ALARM
274,AlarmActuator,ALARM
275,AlarmActuator,ALARM
276,AlarmActuator,ALARM
277,AlarmActuator,ALARM
278,AlarmActuator,ALARM
279,AlarmActuator,ALARM
280,AlarmActuator,ALARM
281,AlarmActuator,ALARM
282,AlarmActuator,ALARM
283,AlarmActuator,ALARM
284,AlarmActuator,ALARM
285,AlarmActuator,ALARM
286,AlarmActuator,ALARM
287,AlarmActuator,ALARM
288,AlarmActuator,ALARM
289,AlarmActuator,ALARM
290,AlarmActuator,ALARM
291,AlarmActuator,ALARM
292,AlarmActuator,ALARM
293,AlarmActuator,ALARM
294,AlarmActuator,ALARM
295,AlarmActuator,ALARM
296,AlarmActuator,ALARM
297,AlarmActuator,ALARM
298,AlarmActuator,ALARM
299,AlarmActuator,ALARM
